,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39
Shrew_office_Doris,3.260098664857893e-157,0.0,0.0,1.7419191362559538e-79,0.0,0.0,0.0,0.0,0.0,0.0,1.6173593193900428e-72,1.4129921620822378e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1179426921217737e-212,0.0,6.062286512092232e-138,0.0,0.0,0.0,0.0,0.0,0.0,6.301508120261986e-167,1.0534834520534061e-111,1.0,0.0,0.0,0.0,1.7454364955072348e-51,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,1.0,0.0,4.142160322868763e-149,0.0,0.0,0.0,0.0,0.0,0.0,5.901411828095241e-173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.849957995741761e-258,0.0,0.0,0.0,0.0,3.417044475133142e-115,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,1.7166864573175187e-91,0.0,0.0,3.882952250347163e-94,0.0,0.0,0.0,0.0,0.0,0.0,2.9511669300269756e-31,4.465223855182565e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8590990974159667e-259,0.0,1.4464969789923812e-256,0.0,0.0,0.0,0.0,0.0,0.0,3.635045044016055e-80,1.0,0.0,0.0,0.0,0.0,8.528438505819668e-36,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6714814991599582e-197,0.0,0.0,0.0,0.0,0.0,0.0,1.783724e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,4.83881473150586e-101,0.0,0.0,1.761614606093402e-106,0.0,0.0,0.0,0.0,0.0,0.0,1.525950092461411e-58,1.0810310830101573e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9787466503619772e-217,0.0,9.944196033765879e-83,0.0,0.0,0.0,0.0,0.0,0.0,5.729102136178717e-129,3.623093529048767e-56,0.0,0.0,0.0,1.0,1.152888021436072e-47,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.980848754308823e-304,0.0,0.0,0.0,0.0
Mouse_health_Ileana,1.9203927884384412e-44,0.0,0.0,1.0969205467154263e-47,0.0,0.0,0.0,0.0,0.0,6.7984857785218e-278,0.9805935959617511,3.165319181849964e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.543554363175285e-209,0.0,1.5559505009449897e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.378119108814936e-26,8.807965654771099e-37,0.0,0.0,0.0,0.0,0.019406404006595056,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,2.3247237358311264e-169,0.0,0.0,0.0,0.0,0.0,0.0,6.085397059098678e-169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3945895353591143e-200,0.0,7.328485951720555e-233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9764873259126163e-229,0.0,0.0,0.0,0.0,6.57635234709188e-120,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
