,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300353175679981e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.683487387079232e-114,1.0,8.38293260562556e-241,0.0,0.0,0.0,0.0,0.0,0.0,1.0183713428669647e-141,0.0,0.0,0.0,0.0,5.512558751106603e-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4220702672880118e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.336900269480783e-25,0.0,1.498098218280281e-37,0.0,0.0,0.0,0.0,0.0,0.0,1.7365986438634787e-152,0.0,0.0,0.0,1.0,1.0364407417753868e-85,0.0,0.0,6.61845607688008e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999996807381438,1.2850200120546253e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8430283223197183e-08,0.0,3.008315727445645e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.5292851026335703e-37,0.0,0.0,0.0,0.0,4.1847616770376363e-17,0.0,0.0,5.443704811798496e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3717784905917745e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266866836625354e-74,0.0,6.027854304031533e-138,0.0,0.0,0.0,0.0,0.0,0.0,6.794577560197098e-267,0.0,0.0,0.0,0.0,3.260059739447799e-157,0.0,0.0,1.5131318608825718e-206,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1299155516885202e-198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6879390158535654e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.105876936875314e-102,1.1252212483060412e-203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.488019352588156e-61,0.0,4.015414881382903e-286,0.0,0.0,0.0,0.0,1.0,0.0,2.427230252100989e-114,0.0,0.0,0.0,0.0,4.852993430049602e-121,0.0,0.0,1.8134703143529885e-249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.659893581394049e-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1525578885663108e-52,1.0062539804044427e-186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.467762028596199e-30,0.0,2.6098825564988918e-54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2719013009426327e-72,0.0,0.0,6.431181449990349e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,3.027771666640425e-204,0.0,0.0,0.0,0.0,1.1071769813463571e-08,3.2888033594730105e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999889282307,0.0,1.4544203983774097e-17,0.0,0.0,0.0,0.0,0.0,0.0,9.228655683953472e-34,0.0,0.0,0.0,0.0,1.7967385010637315e-44,0.0,0.0,2.821836129482809e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2659840958018257e-162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.02124349064818e-182,0.0,7.227812022759295e-233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.444151858476796e-255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
