,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40
Shrew_office_Ila,0.0,1.7387132115807476e-21,0.0,0.0,0.0,0.0,1.0,0.0,3.955093596877206e-29,0.0,0.0,0.0,1.6418437660517465e-83,0.0,0.0,0.0,0.0,0.0,0.0,2.3754703104526838e-35,0.0,0.0,0.0,0.0,7.855194256273211e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.150009203183353e-39,0.0,0.0,3.9945548231535483e-78,0.0,0.0,0.0,0.0,4.631172997666192e-24,0.0
Shrew_office_Doug,0.0,2.434207635492482e-06,0.0,0.0,0.0,1.2836492279226519e-42,5.063999633044925e-58,0.0,3.1726399921922133e-77,0.0,0.0,0.0,4.180294264793942e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0064175285376387e-07,0.0,0.0,0.0,0.0,1.213887120987351e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.8116062477228306e-24,0.0,0.0,1.5508832618929728e-22,0.0,0.0,0.0,0.0,0.9999972650292229,0.0
Shrew_office_Doris,0.0,5.924460569942424e-35,0.0,0.0,0.0,0.0,1.0,0.0,1.5996865077483316e-73,0.0,0.0,0.0,1.6112836768550987e-129,0.0,0.0,0.0,0.0,0.0,0.0,2.9905371525056506e-110,0.0,0.0,0.0,0.0,1.6319976888902082e-44,0.0,0.0,0.0,0.0,0.0,0.0,2.2171880209959237e-58,0.0,0.0,1.3444084584613815e-118,0.0,0.0,0.0,0.0,2.2785596057987357e-35,0.0
Shrew_office_Lin,0.0,1.782074379908963e-142,0.0,0.0,0.0,0.0,1.561004989182704e-121,0.0,8.683540541105996e-226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5629395764733982e-156,0.0,0.0,0.0,0.0,0.0,0.0,1.9899095974566122e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8691914825439274e-197,0.0
Shrew_office_Kenneth,0.0,4.4624768954821834e-54,0.0,0.0,0.0,1.1252338537320805e-203,0.0,0.0,1.3489491313551704e-140,0.0,0.0,0.0,4.852976825083074e-121,0.0,0.0,0.0,0.0,0.0,0.0,4.065240967651904e-286,0.0,2.673896817427038e-105,0.0,0.0,2.9398878991066406e-74,0.0,0.0,0.0,0.0,0.0,0.0,1.6237516571378506e-69,0.0,0.0,1.1341753213313639e-93,1.0,0.0,0.0,0.0,6.054696929825204e-102,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6675752367290638e-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,4.2847336584181695e-17,0.0,0.0,0.0,1.7235629426673906e-185,0.0,0.0,8.58785826134557e-91,0.0,0.0,0.0,2.178550242297243e-71,0.0,0.0,0.0,0.0,0.0,0.0,4.474973547167761e-53,0.0,3.55630402595124e-91,0.0,0.0,1.070807116435469e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.8516696374828007e-71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.360034595001276e-51,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,5.85304872417635e-33,0.0,0.0,0.0,6.032466721888293e-90,4.762079690549474e-240,0.0,8.309438787985455e-89,0.0,0.0,1.0,3.295648734069933e-75,0.0,0.0,0.0,0.0,0.0,0.0,2.6694007253466156e-48,0.0,0.0,0.0,0.0,4.1038237743868687e-35,0.0,0.0,0.0,0.0,0.0,0.0,1.499715719763646e-62,0.0,0.0,1.0091000469991254e-48,0.0,0.0,0.0,0.0,2.306499484928102e-39,0.0
Mouse_health_Estela,0.0,3.166668733635609e-131,0.0,0.0,0.0,0.0,0.0,0.0,2.7193162644972257e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.2944317751756225e-233,0.0,0.0,0.0,0.0,1.4991365410844044e-131,0.0,0.0,0.0,0.0,0.0,0.0,1.3869331759467814e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1836621684947625e-162,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
