,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44
Shrew_office_Ila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.255771806036818e-16,0.0,0.0,0.0,1.5028453726041977e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65964322683235e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,3.866311712671017e-24,2.955574340056324e-85,9.475485627443133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6176214643650534e-62,0.0,0.0,0.0,3.0530718233446427e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.572591541396781e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0691813944241716e-58,0.0,0.0,0.999999973903947,6.25250285057911e-11,2.3053895251864e-12,0.0,1.2849616875592919e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.702128151819863e-38,0.0,0.0,0.0,4.358831131465989e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.914727491009993e-78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1654552558088406e-35,3.84957861660808e-122,6.917979259293226e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3144898693571116e-165,0.0,0.0,0.0,3.198589792363813e-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.66250086567939e-180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5610049891158881e-121,0.0,0.0,3.36607920377391e-198,0.0,1.3014823632862443e-164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0175387220784554e-133,0.0,0.0,0.0,6.246376833256697e-72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0786165013279843e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.171205448298409e-102,1.518564971519508e-71,2.3157968629525295e-62,0.0,1.1252212479823325e-203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.811025380076695e-130,0.0,0.0,0.0,2.170632717802126e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86907321284458e-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416669233332866e-81,2.3654615208403537e-35,2.9222363163565836e-78,0.0,3.828094756358216e-215,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.647540346432502e-50,0.0,0.0,0.0,3.961803259152681e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.355117538819673e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9487634014716205e-209,0.0,0.0,1.264046904725045e-08,6.0992592939093e-20,0.9999999873581764,0.0,3.735401216512364e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5042899295226074e-164,0.0,0.0,0.0,1.0756180216099412e-177,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.601805099842e-311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3143655556870693e-162,0.0,2.093435151083198e-164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
