Robin_public_Carolina,Robin_lodging_Dorthy,Robin_education_Zenia,Robin_office_Dina,Robin_education_Derick,Robin_education_Della,Robin_education_Leslie,Robin_office_Sammie,Robin_education_Mercedes,Robin_education_Julius,Robin_education_Lashandra,Robin_education_Lizbeth,Robin_office_Gayle,Robin_office_Shirlene,Robin_education_Madeline,Robin_lodging_Phillip,Robin_education_Jasper,Robin_office_Wai,Robin_education_Terrance,Robin_lodging_Elmer,Robin_office_Addie,Robin_education_Cecilia,Robin_education_Kiera,Robin_lodging_Pricilla,Robin_education_So,Robin_office_Maryann,Robin_office_Serena,Robin_education_Derrick,Robin_education_Megan,Robin_office_Adolph,Robin_office_Lindsay,Robin_education_Takako,Robin_lodging_Oliva,Robin_office_Victor,Robin_education_Margarito,Robin_public_Cami,Robin_education_Kristopher,Robin_education_Billi,Robin_lodging_Celia,Robin_office_Donald,Robin_assembly_Colleen,Robin_office_Soledad,Robin_education_Audrea,Robin_office_Saul,Robin_lodging_Donna,Robin_office_Antonina,Robin_office_Erma,Robin_office_Zelma,Robin_lodging_Renea,Robin_lodging_Armand,Robin_education_Karyl,Robin_lodging_Janie,Shrew_office_Sherill,Shrew_office_Rose,Shrew_office_Nora,Shrew_office_Katherine,Shrew_office_Ila,Shrew_office_Doug,Shrew_office_Doris,Shrew_office_Lin,Shrew_office_Kenneth,Mouse_health_Buddy,Mouse_health_Modesto,Mouse_lodging_Vicente,Mouse_health_Justin,Mouse_health_Ileana,Mouse_health_Estela,Mouse_science_Micheal
71.187,18.1,137.25,24.5,511.5,0.7492,729.25,78.25,176.16400000000004,311.6,356.0,67.0,42.75,21.5,315.625,51.3,140.6,104.7,282.5,70.5,13.4,37.0,51.0,94.9,481.375,220.1,37.5,375.31300000000016,190.0,19.812,52.25,152.4,52.0,35.5,465.5,41.25,91.3,30.2,35.0,159.0,33.5,13.5,240.188,13.8,16.375,344.2,6.5,109.5,71.2,32.75,21.2537,186.8,203.0,4.9,146.8,46.4,129.6,66.3,148.4,312.6,61.2,17.6449,820.914,30.0,528.752,47.0,352.0,336.4486
90.5,22.6,132.75,26.5,492.0,0.7492,791.25,113.75,174.149,326.8,417.0,69.0,41.25,20.5,318.875,51.5,139.9,120.9,277.2,77.6,13.5,35.0,53.375,83.1,474.625,224.9,45.3,369.781,192.5,21.063,54.125,157.3,56.7,36.5,465.5,59.0,90.9,32.3,36.4,164.75,35.5,11.438,262.437,14.0,16.75,360.2,6.6,107.5,84.4,32.938,23.8157,225.3,202.5,5.1,151.2,49.1,132.7,66.3,148.2,334.4,56.1,17.6449,832.148,40.0,583.484,49.0,365.0,336.4486
89.06200000000004,29.3,134.75,26.5,505.5,0.7492,825.75,76.25,176.16400000000004,330.6,419.0,71.8,40.25,21.75,321.875,53.5,140.1,136.0,287.4,81.0,13.4,38.0,56.375,83.5,481.875,223.3,43.7,371.93800000000016,193.0,20.687,53.5,157.2,65.1,36.0,467.5,63.25,90.9,30.5,41.0,178.5,36.25,27.656,243.938,14.3,17.625,359.1,6.7,126.0,87.7,39.75,24.7537,227.05,205.5,4.9,164.5,46.2,129.2,70.3,153.0,325.8,52.7,17.6449,851.355,40.0,608.243,49.0,377.0,336.4486
99.251,35.4,134.0,26.5,518.0,0.7492,835.75,92.75,177.16400000000004,335.6,423.0,76.8,41.5,21.75,326.875,57.9,140.7,133.7,291.0,90.2,13.5,34.0,57.375,102.7,481.125,225.6,44.5,379.906,200.5,17.563,59.875,162.4,75.7,37.5,473.5,65.5,91.9,24.8,52.6,182.25,51.0,11.25,244.625,13.9,22.625,379.4,7.6,130.0,94.9,39.875,26.5037,237.125,209.0,5.9,179.9,47.0,128.0,66.8,152.9,323.4,51.5,17.6449,858.687,40.0,613.866,52.0,387.0,336.4486
118.687,39.9,130.0,28.0,530.5,0.7492,850.75,79.75,175.66400000000004,336.4,426.0,77.4,43.25,21.75,337.5,60.2,142.2,143.4,286.9,105.1,13.4,34.0,60.0,112.7,486.875,227.1,44.7,379.219,201.5,18.687,57.375,164.7,86.9,39.0,479.0,64.5,92.7,26.6,61.0,183.75,56.5,8.031,247.187,13.9,27.0,370.1,7.7,131.0,101.9,44.562,23.3167,248.937,206.5,12.6,178.0,45.6,125.8,65.8,146.8,315.0,51.3,17.6449,860.4960000000003,40.0,626.878,51.0,416.0,336.4486
154.938,38.9,131.75,28.0,532.0,0.7492,848.5,76.75,183.164,332.4,426.0,79.2,47.25,22.0,337.375,71.3,143.6,140.3,298.5,126.3,13.4,35.5,63.25,107.8,488.0,234.4,44.8,388.812,196.0,18.438,61.625,167.4,90.8,39.5,485.0,73.0,93.3,25.4,70.7,180.5,63.0,9.625,250.438,13.9,25.25,377.8,7.7,130.5,103.8,46.375,26.1287,267.088,205.5,12.1,174.7,47.2,125.0,65.4,149.0,326.3,51.3,17.6449,867.654,40.0,642.0830000000002,49.0,413.0,336.4486
152.125,41.5,132.5,29.0,546.0,0.7492,869.5,87.75,190.211,335.4,436.0,79.2,53.25,24.0,337.875,71.8,143.8,142.8,290.4,131.5,13.5,38.0,67.0,114.7,486.5,228.9,44.6,386.844,202.0,18.25,57.0,167.0,95.5,41.0,485.0,72.5,91.8,28.0,78.3,180.25,63.0,13.594,257.125,14.0,33.625,380.6,7.8,130.5,105.6,54.375,26.9407,250.537,204.5,12.5,181.9,46.9,126.4,65.3,145.9,319.4,47.6,17.6449,882.275,40.0,607.193,52.0,447.0,336.4486
154.625,41.4,134.75,29.5,544.5,0.7492,868.75,87.5,190.172,336.4,435.0,80.0,56.5,24.0,340.75,65.8,142.7,143.2,286.5,138.4,13.4,32.5,65.75,122.4,486.5,235.0,44.8,397.0,197.0,18.312,60.5,165.7,101.8,40.0,484.0,78.25,90.5,24.9,83.3,182.25,63.75,7.1560000000000015,271.687,13.8,30.5,379.8,7.6,131.0,104.3,52.438,21.6917,258.55,207.5,12.4,178.6,46.3,128.9,66.2,148.1,313.0,46.4,17.6449,884.0269999999997,40.0,627.308,49.0,395.0,336.4486
154.687,39.4,137.25,29.0,553.0,0.7492,872.5,94.75,193.172,334.2,438.0,79.4,58.0,24.75,345.875,69.3,140.3,147.3,297.8,127.0,13.4,36.0,72.125,127.1,484.625,226.1,45.0,395.812,195.5,19.25,55.0,165.1,105.0,41.0,490.5,77.0,90.0,24.5,76.5,181.25,61.75,10.25,254.688,13.9,27.5,378.4,7.2,133.0,112.4,53.937,24.0657,267.6,207.5,12.0,188.0,46.5,128.6,67.2,148.3,299.2,48.3,17.6449,871.7439999999997,40.0,625.525,50.0,401.0,336.4486
154.812,40.3,136.25,30.5,551.5,0.7492,875.25,89.75,191.804,332.6,438.0,81.6,63.25,23.25,346.125,69.9,140.4,146.4,285.0,125.3,13.4,34.5,72.375,123.8,485.125,230.7,45.6,402.719,194.5,18.125,63.0,165.5,110.2,41.0,493.0,79.25,90.2,26.4,77.0,179.75,62.5,7.375,254.812,13.8,26.5,385.1,7.2,135.5,113.4,56.375,23.8787,244.25,210.5,11.6,178.2,48.8,127.8,68.9,147.1,306.9,50.3,17.6449,883.8710000000003,40.0,645.937,50.0,378.0,336.4486
154.813,40.5,136.0,30.0,554.5,0.7492,876.75,91.5,196.938,328.6,439.0,78.8,62.5,23.5,345.625,72.5,142.3,140.2,287.4,128.2,13.4,38.5,72.25,124.5,491.875,227.4,42.6,392.031,196.5,18.438,62.625,167.3,106.0,41.0,494.5,77.25,90.0,24.0,82.7,180.75,62.75,8.062999999999999,258.0,14.1,28.5,382.2,7.2,134.5,114.1,55.375,22.8167,245.8,215.5,10.2,173.9,48.7,127.0,72.3,146.7,308.5,46.5,17.6449,884.334,50.0,619.629,49.0,366.0,336.4486
156.438,51.5,134.25,30.5,561.0,0.7492,869.5,100.5,188.812,330.6,437.0,79.6,44.5,23.25,346.875,76.2,143.0,134.6,290.1,165.5,13.4,33.5,72.125,144.0,489.875,231.3,41.1,391.18800000000016,195.0,18.187,64.5,159.2,123.1,41.0,496.5,76.25,89.7,25.6,99.1,182.0,65.25,11.812,254.313,14.0,30.125,381.4,7.3,134.5,117.7,58.625,21.0657,267.463,216.5,6.0,141.9,46.8,128.4,71.4,149.0,299.5,40.8,17.6449,883.779,40.0,580.856,50.0,364.0,336.4486
152.249,62.3,126.25,30.5,563.5,0.7492,855.25,92.25,185.672,327.6,423.0,78.8,43.5,21.75,335.625,79.2,140.9,127.2,278.1,173.7,13.4,36.0,70.0,138.9,480.0,227.9,38.8,391.625,194.5,18.375,59.5,148.2,123.8,40.0,490.0,76.75,91.2,24.0,107.2,169.0,61.75,6.625,260.25,13.9,37.75,378.5,6.5,136.5,122.7,66.25,22.0667,276.012,216.0,5.1,125.2,46.4,127.7,69.4,148.9,296.3,42.9,17.6449,874.727,50.0,565.288,50.0,365.0,336.4486
152.938,52.8,119.0,28.5,550.5,0.7492,758.5,85.75,189.18,321.2,368.0,80.4,45.5,22.0,332.25,81.1,141.7,124.8,285.2,149.0,13.6,35.5,65.375,135.2,479.25,221.0,36.6,387.25,186.0,20.438,62.375,146.7,117.3,39.5,478.0,74.5,92.6,23.0,93.8,166.0,40.75,12.531,262.0,13.6,37.375,373.1,6.2,132.0,121.9,57.813,20.7537,273.35,219.5,4.9,117.8,49.0,127.2,69.0,149.0,305.6,45.0,17.6449,879.6510000000003,50.0,563.089,50.0,361.0,336.4486
141.625,48.8,115.0,28.0,535.5,0.7492,748.75,89.25,187.188,308.4,367.0,78.6,44.5,21.75,330.25,70.8,141.1,104.6,282.9,149.0,13.3,39.0,58.125,144.2,468.0,220.5,36.4,378.281,182.5,19.187,55.75,148.0,111.0,38.0,477.0,72.0,93.9,22.9,82.8,172.5,36.5,8.5,250.062,13.6,36.0,364.9,6.2,112.0,118.9,51.375,20.7537,271.538,221.5,4.9,105.1,48.3,126.3,67.9,147.0,314.2,48.7,17.6449,871.0369999999997,40.0,548.2,48.0,353.0,336.4486
92.062,46.8,114.25,26.5,511.5,0.7492,735.5,85.75,178.179,305.8,362.0,79.4,40.5,21.5,325.5,73.1,140.2,103.7,277.9,136.4,13.4,34.5,56.125,140.9,470.25,220.1,35.3,379.875,181.5,18.938,57.5,146.5,115.1,36.5,472.0,32.0,94.3,21.7,78.4,168.5,36.0,9.907,247.0,13.5,32.0,352.4,6.2,111.5,114.8,50.5,22.6907,258.35,222.5,5.0,100.2,48.4,125.1,67.2,149.9,312.8,47.4,17.6449,859.827,40.0,535.933,48.0,351.0,336.4486
86.125,41.2,113.5,26.5,515.5,0.7492,735.25,83.25,173.149,306.4,358.0,76.8,40.5,21.25,322.25,69.2,140.1,102.1,282.9,136.2,13.5,34.0,52.5,139.6,465.625,214.3,35.3,366.125,179.5,19.437,53.75,145.1,112.5,35.0,469.0,25.75,95.7,22.5,75.7,168.25,35.0,9.75,243.375,13.6,29.25,349.5,6.0,107.5,112.1,50.312,19.3787,242.425,220.5,5.3,97.4,53.3,122.5,67.3,142.5,293.5,48.0,17.6449,852.8710000000003,40.0,535.872,47.0,354.0,336.4486
104.313,32.5,113.25,26.5,498.5,0.7492,748.0,63.25,180.172,287.8,371.0,72.2,39.5,26.25,330.0,62.6,140.7,106.4,274.0,115.2,16.4,27.0,53.5,135.5,473.875,222.6,35.3,375.06300000000016,189.0,21.25,50.0,144.1,96.8,38.0,472.5,50.25,102.6,34.4,70.2,170.5,36.5,7.468,254.187,13.1,27.5,345.6,6.1,109.5,110.2,44.875,21.8787,247.4,234.0,6.6,109.8,48.0,132.8,74.1,158.2,312.6,55.3,17.6449,857.632,30.0,542.7335,51.0,342.0,336.4486
70.25,28.7,114.5,25.5,485.0,0.7492,718.0,92.0,167.15599999999995,268.4,350.0,77.2,38.5,20.25,314.0,57.3,139.9,102.6,265.5,97.8,13.6,25.0,52.75,117.5,458.125,217.7,35.5,356.06199999999984,185.0,19.125,54.0,147.2,88.7,35.5,466.5,23.75,98.3,24.7,55.5,157.75,35.0,7.25,255.375,13.5,27.75,347.6,4.5,109.0,93.3,39.875,27.8167,242.05,223.0,5.2,103.1,50.1,123.7,67.1,144.1,308.1,47.3,17.6449,845.198,40.0,527.7959999999998,46.0,329.0,336.4486
70.312,23.3,113.75,25.0,487.0,0.7492,712.75,79.25,170.65599999999995,256.4,349.0,77.4,39.5,20.0,314.375,50.5,138.8,102.3,265.3,82.1,13.7,28.5,51.75,90.7,453.5,226.8,35.5,359.75,186.0,19.125,51.75,146.0,69.8,34.5,467.0,24.25,97.7,24.7,45.4,157.25,34.0,6.593999999999999,246.125,13.4,20.5,340.6,4.5,107.0,82.9,34.562,20.7537,218.525,222.0,5.1,98.5,47.6,125.3,67.5,144.6,293.1,40.5,17.6449,831.721,30.0,520.993,47.0,340.0,336.4486
69.563,19.9,114.0,24.0,492.0,0.7492,723.0,69.75,165.65599999999995,258.4,352.0,79.8,42.0,21.25,316.375,46.7,139.6,102.7,273.2,68.3,13.6,25.0,53.0,77.1,463.625,220.3,35.5,358.375,183.0,18.312,51.625,146.0,68.1,35.0,468.0,25.5,93.8,23.7,37.6,156.25,32.0,7.4060000000000015,239.25,13.5,16.25,343.1,4.5,106.5,75.4,31.125,23.2537,202.588,224.0,4.9,96.2,49.4,126.7,67.2,145.6,290.6,49.0,17.6449,829.715,30.0,520.169,45.0,342.0,336.4486
71.875,19.4,111.5,25.0,499.5,0.7492,723.5,72.0,170.68,261.8,356.0,78.8,40.5,20.0,316.625,45.4,139.0,106.3,272.8,71.2,13.5,30.5,52.875,68.0,463.25,221.9,35.6,363.282,184.5,18.688,52.25,145.7,57.1,35.0,464.5,24.0,94.8,22.7,35.8,158.0,31.5,8.844,240.438,13.4,16.0,347.5,4.6,107.0,69.1,29.5,20.4407,190.05,218.0,5.1,104.9,48.4,124.5,67.0,146.6,300.3,50.9,17.6449,829.2639999999999,30.0,514.697,46.0,340.0,336.4486
71.938,18.3,113.75,25.0,502.5,0.7492,727.25,74.0,174.71900000000005,262.0,359.0,82.4,41.75,21.0,316.75,44.0,139.6,118.3,278.5,65.3,13.4,26.0,52.75,65.5,462.875,229.2,38.5,364.437,185.5,18.312,54.375,149.4,53.8,35.5,465.5,23.5,93.4,24.8,37.6,158.5,33.0,10.844,242.0,13.6,15.625,351.1,5.1,107.5,61.4,28.563,22.7537,191.937,241.5,5.0,133.4,56.8,124.4,66.9,145.6,302.6,47.7,17.6449,833.1010000000001,30.0,520.601,47.0,340.0,336.4486
95.249,20.2,126.0,26.0,507.0,0.7492,763.25,109.0,185.468,300.0,367.0,81.8,43.25,23.5,324.75,44.5,140.3,140.7,273.4,73.6,13.2,26.0,56.25,74.7,482.75,242.6,44.9,373.31300000000016,186.0,19.563,63.375,153.3,53.9,38.5,485.5,44.5,93.1,40.0,36.2,169.0,45.75,9.406,247.5,13.3,14.5,386.6,5.2,115.5,68.9,31.437,30.8787,179.563,280.5,4.9,158.8,59.3,129.0,70.4,174.1,301.1,52.4,17.6449,831.675,30.0,522.135,46.0,342.0,336.4486
120.688,23.3,144.25,30.0,538.0,0.7492,800.5,119.25,198.0,356.0,386.0,80.4,43.5,27.5,336.625,45.9,145.5,186.0,289.0,106.3,13.2,40.0,69.75,100.8,488.25,258.0,48.5,381.0,191.5,18.25,65.625,154.8,62.8,51.0,489.5,67.5,98.1,43.2,36.8,174.0,56.5,15.313,263.062,15.6,16.25,422.9,6.1,122.0,112.0,32.688,27.3787,201.3,295.5,9.4,219.4,61.8,140.8,76.5,201.9,354.4,53.7,17.6449,837.118,40.0,547.235,47.0,343.0,336.4486
126.688,32.9,149.0,28.0,572.0,0.7492,880.5,133.75,198.422,397.8,451.0,80.4,45.5,30.25,338.625,55.2,168.5,268.6,306.5,130.6,14.3,36.0,83.125,114.8,489.0,270.3,58.3,401.031,200.5,19.375,69.75,165.8,82.4,61.5,490.5,74.0,104.2,51.0,51.9,191.0,70.25,23.031,245.125,16.2,17.375,447.5,18.5,123.0,131.5,33.875,29.1287,218.35,370.5,11.8,232.2,68.2,171.5,84.8,245.7,432.2,61.2,17.6449,880.89,40.0,634.201,60.0,383.0,336.4486
169.062,37.9,167.0,34.5,637.0,0.7492,961.75,117.75,217.493,447.6,456.0,82.8,51.0,42.25,356.25,60.0,196.2,343.3,334.7,135.4,18.0,45.5,102.75,116.2,520.25,295.2,72.8,444.687,245.0,26.5,79.25,177.4,95.0,71.0,504.5,76.5,114.2,58.4,68.9,216.5,77.25,32.875,247.375,15.5,27.875,482.2,22.8,145.5,150.6,46.25,31.8167,247.362,423.5,13.9,260.0,76.1,203.6,96.4,258.5,530.9,62.6,17.6449,970.484,50.0,676.7289999999998,91.0,485.0,336.4486
201.75,33.2,184.25,47.5,689.0,0.7492,1022.25,134.0,244.218,544.4,484.0,98.0,69.75,46.25,391.75,59.3,212.3,389.9,356.2,124.1,26.3,46.0,128.5,112.5,574.125,327.2,80.4,515.938,281.5,27.812,93.0,189.3,91.4,82.0,548.5,83.0,127.5,70.6,70.2,250.25,78.0,33.937,267.313,17.2,24.875,535.0,21.9,168.0,141.6,47.937,43.4407,224.463,479.5,12.5,287.2,71.2,240.0,110.6,287.8,530.5,76.0,17.6449,1056.924,50.0,724.355,107.0,570.0,336.4486
223.187,31.5,191.25,48.0,705.0,0.7492,1076.5,131.0,258.164,556.8,496.0,108.2,97.25,52.75,427.25,60.2,212.8,413.0,359.6,104.9,26.8,53.0,137.25,93.9,605.625,333.5,82.7,548.219,296.0,30.875,99.5,188.0,95.2,86.5,571.5,89.0,148.1,90.2,65.9,266.75,88.25,27.938,284.687,18.4,26.375,551.3,22.1,186.0,108.3,44.625,51.6917,212.725,488.0,11.4,299.7,66.2,257.2,114.7,298.0,532.5,80.7,17.6449,1095.852,50.0,747.797,109.0,581.0,336.4486
228.126,40.6,185.75,51.5,715.0,0.7492,1118.75,136.25,271.649,541.4,516.0,123.0,102.25,50.25,465.75,63.3,215.8,404.3,363.6,101.7,26.8,62.0,144.5,92.8,616.0,338.1,85.0,551.5930000000002,312.0,33.625,97.5,202.5,85.9,92.0,609.0,94.25,145.8,91.0,67.7,302.0,94.0,32.312,290.125,17.0,24.875,556.3,24.1,193.0,112.0,43.25,47.1907,210.75,477.0,11.1,310.1,62.8,262.4,115.7,307.9,527.0,86.9,17.6449,1133.372,60.0,771.395,108.0,573.0,336.4486
226.624,33.9,187.5,52.5,712.5,0.7492,1142.0,142.0,278.547,555.2,529.0,124.8,99.5,53.75,451.75,74.5,205.2,394.6,360.7,120.6,26.0,63.5,145.25,86.3,621.0,346.5,85.9,557.094,308.5,36.125,97.25,206.0,77.9,94.5,591.0,93.5,158.3,91.6,80.1,307.5,94.75,27.282,309.313,16.2,25.125,552.2,25.3,198.0,118.7,42.875,47.8787,233.462,500.0,11.1,313.3,63.1,271.0,114.0,318.2,536.1,79.1,17.6449,1130.514,60.0,758.3610000000001,108.0,570.0,336.4486
229.125,31.3,186.5,52.0,705.5,0.7492,1142.75,144.25,290.742,549.6,528.0,123.6,96.0,55.25,447.375,72.1,206.5,392.0,367.6,113.5,25.6,62.5,152.0,90.7,644.625,350.2,84.2,553.313,304.5,37.75,100.375,204.8,80.0,98.5,579.5,97.5,160.2,95.8,72.2,295.5,96.0,32.25,304.062,15.9,34.625,552.9,23.6,198.0,118.2,43.313,44.4417,225.413,502.0,11.9,294.3,64.0,268.5,117.4,313.3,541.3,85.3,17.6449,1094.793,60.0,751.9830000000003,113.0,569.0,336.4486
227.626,25.8,193.25,55.5,704.5,0.7492,1139.75,133.25,309.094,528.2,528.0,132.2,99.5,51.75,453.0,63.7,188.5,375.9,386.2,105.1,23.8,61.0,143.0,99.9,642.25,343.6,82.7,571.187,309.0,33.938,99.25,191.8,80.0,95.5,571.5,95.75,153.6,88.5,67.7,295.5,96.75,34.406,292.563,16.2,28.375,545.7,25.6,201.5,115.5,41.0,44.7537,202.75,487.5,12.7,305.1,58.1,260.8,122.9,298.8,545.6,84.6,17.6449,1093.868,60.0,760.405,112.0,570.0,336.4486
222.687,26.8,193.75,58.5,697.0,0.7492,1126.5,143.5,308.461,506.4,520.0,125.2,103.25,52.5,455.875,65.0,188.2,366.8,381.2,129.9,24.6,62.5,143.0,97.9,648.375,339.9,81.7,573.875,292.0,34.312,98.625,193.3,80.9,96.0,570.5,100.5,148.5,88.7,66.5,297.5,93.5,32.906,293.937,15.3,24.75,528.3,25.0,197.0,139.3,45.187,46.0037,218.087,470.5,12.8,288.7,55.9,251.8,120.3,275.2,511.9,84.0,17.6449,1108.047,60.0,755.915,114.0,561.0,336.4486
215.688,34.9,192.0,53.5,655.0,0.7492,1100.5,136.75,313.882,491.8,511.0,122.6,102.25,54.75,437.875,69.7,177.9,326.3,355.3,159.1,26.4,63.0,139.125,116.8,636.625,328.6,74.8,562.375,277.5,33.313,99.375,182.9,96.3,94.5,572.0,97.5,140.6,85.1,77.9,281.75,85.5,28.688,298.813,15.3,27.0,513.0,20.0,191.0,155.4,50.0,47.7537,232.263,467.5,11.7,271.9,62.2,231.2,114.2,267.6,476.0,87.6,17.6449,1101.177,50.0,735.5360000000003,107.0,553.0,336.4486
203.312,52.6,181.75,48.0,633.0,0.7492,1058.75,131.25,289.438,462.4,502.0,117.0,87.5,52.0,423.125,69.8,165.2,279.2,335.1,180.8,23.9,59.0,120.875,125.0,626.125,306.0,60.6,552.625,244.0,29.625,80.625,169.9,101.4,81.0,546.5,92.75,134.5,76.9,106.9,275.75,81.25,18.718,302.562,15.8,31.0,473.5,11.5,182.5,174.4,58.125,40.4407,274.362,432.0,12.0,235.7,64.1,211.2,107.4,247.6,468.1,79.4,17.6449,1041.326,60.0,680.7860000000003,102.0,514.0,336.4486
197.875,57.9,161.5,43.5,622.5,0.7492,977.25,125.5,255.687,400.8,462.0,113.0,74.25,44.5,404.875,78.9,156.1,210.2,313.0,184.7,22.2,60.5,109.0,143.5,578.75,282.9,47.4,526.188,226.0,27.687,71.75,156.7,102.1,70.5,534.0,85.75,138.5,62.8,126.0,251.5,74.5,17.969,295.313,15.8,36.25,435.6,8.1,169.0,164.9,61.688,37.1287,283.125,385.0,8.5,215.2,73.7,183.1,102.1,222.3,436.1,76.7,17.6449,990.91,60.0,630.7919999999998,85.0,453.0,336.4486
187.187,60.3,148.0,37.5,605.0,0.7492,846.5,110.0,232.399,357.6,400.0,107.8,68.5,37.0,384.75,84.5,154.1,153.2,305.7,158.5,19.7,48.5,98.125,147.1,546.625,262.7,40.7,473.593,212.5,28.188,61.125,154.7,103.6,62.5,520.0,80.25,123.3,56.6,107.5,237.0,74.25,15.344,273.375,15.4,40.0,414.1,7.8,161.0,128.9,67.562,32.5037,282.063,360.0,8.0,202.8,62.0,161.2,91.9,204.5,408.5,73.9,17.6449,955.207,60.0,616.94,74.0,395.0,336.4486
171.37599999999995,51.8,121.0,34.0,595.0,0.7492,821.25,93.25,213.304,323.4,395.0,101.8,64.0,36.75,370.875,83.0,149.1,138.3,295.7,135.9,19.4,44.0,88.875,143.6,511.625,248.7,39.2,429.375,207.0,26.937,56.25,152.5,101.0,58.5,507.0,77.0,115.6,46.6,87.2,211.5,68.75,13.875,270.437,13.4,32.5,395.4,7.7,132.5,118.5,65.688,29.0037,278.562,334.5,5.2,165.8,49.6,162.0,84.6,194.2,384.1,72.0,17.6449,922.456,50.0,576.59,69.0,376.0,336.4486
158.875,44.9,118.5,29.5,566.0,0.7492,792.5,89.0,194.704,307.2,386.0,99.4,63.5,36.0,359.125,76.5,148.6,127.1,284.1,126.6,19.5,41.0,75.125,138.9,493.375,241.6,37.2,398.375,199.0,24.063,46.625,145.4,93.8,52.0,495.5,74.5,109.4,43.2,78.4,187.0,61.75,16.031,268.75,12.5,32.75,376.9,7.8,118.0,115.8,55.0,23.7537,287.275,291.5,5.1,122.5,45.4,153.8,83.4,180.6,378.0,68.2,17.6449,871.569,50.0,542.519,60.0,367.0,336.4486
149.499,38.4,113.25,28.0,527.0,0.7492,768.25,80.5,189.726,302.0,381.0,71.0,40.25,32.0,345.875,64.7,147.3,123.9,282.5,134.3,19.1,37.5,64.5,142.2,489.375,234.1,36.0,390.344,194.0,19.875,43.0,145.7,96.3,46.0,483.0,73.25,109.3,45.6,81.0,177.75,47.0,17.094,265.375,12.6,28.0,370.1,7.8,112.5,117.2,47.687,20.5667,252.625,258.0,5.4,115.4,45.5,143.4,81.5,167.7,351.0,66.6,17.6449,873.2,50.0,554.794,55.0,357.0,336.4486
134.187,33.1,120.25,27.5,521.0,0.7492,759.5,73.0,192.672,309.2,374.0,76.4,37.0,32.25,338.375,66.7,145.9,112.1,277.2,115.3,16.6,27.0,53.125,144.9,487.25,248.3,34.8,396.781,197.0,18.812,49.125,146.4,85.3,40.0,481.5,74.0,110.5,47.4,66.9,174.25,37.25,7.375,290.626,13.5,28.375,365.6,6.4,110.5,111.5,45.312,21.0027,251.737,247.5,5.3,114.1,47.4,144.9,77.9,171.4,338.0,67.4,17.6449,867.3395,40.0,547.655,54.0,334.0,336.4486
134.001,24.0,115.75,27.0,509.0,0.7492,759.25,103.25,182.25,302.6,370.0,66.6,36.5,25.5,336.125,54.7,145.9,111.2,277.4,96.5,19.5,27.5,50.25,129.3,489.75,229.1,34.4,386.406,197.5,20.25,45.875,146.4,70.4,38.0,480.0,70.5,109.8,42.5,55.2,179.25,36.5,8.094,266.312,12.8,24.375,352.3,5.7,115.0,98.3,41.688,22.8787,249.35,251.0,6.9,111.4,44.9,140.5,76.7,173.0,343.9,70.0,17.6449,863.717,50.0,546.399,54.0,344.0,336.4486
131.062,19.3,113.0,27.0,508.0,0.7492,746.25,72.25,181.664,294.4,365.0,66.2,38.0,23.5,333.875,51.8,145.4,120.6,281.8,77.3,19.1,27.0,49.875,93.7,482.5,235.3,34.5,383.782,194.5,19.25,52.75,144.6,52.7,37.5,476.5,71.75,111.5,40.1,46.3,179.5,35.0,6.843,259.75,12.6,20.625,351.8,5.7,112.0,87.3,36.5,20.3787,228.788,252.0,7.3,118.7,45.6,142.2,75.5,165.8,353.9,67.8,17.6449,859.388,40.0,542.999,53.0,341.0,336.4486
127.437,17.3,113.75,28.0,505.0,0.7492,739.25,73.25,181.164,292.4,362.0,58.0,38.5,23.5,331.25,47.2,146.0,120.4,273.0,71.9,19.2,26.0,48.375,74.5,480.0,241.3,34.4,385.593,193.5,19.25,51.125,144.9,45.2,36.5,474.0,70.25,108.9,40.5,39.4,179.0,35.0,7.25,256.188,12.5,18.375,338.9,5.8,111.0,82.7,32.937,22.2537,202.237,253.5,5.1,112.8,48.0,142.3,75.4,163.1,336.1,66.7,17.6449,849.045,40.0,535.436,54.0,339.0,336.4486
127.501,16.7,116.0,28.5,509.5,0.7492,744.75,73.5,184.18,294.0,365.0,55.8,38.0,23.75,331.75,45.7,145.7,124.1,269.1,69.4,19.5,26.5,48.125,70.1,478.625,240.2,34.4,380.875,194.5,20.0,52.625,142.2,36.6,36.5,474.0,70.0,108.1,41.0,34.3,180.75,34.75,6.782,255.5,12.5,16.75,342.5,5.8,111.5,75.3,31.25,23.8167,193.775,246.5,5.3,118.8,47.5,141.5,75.1,161.8,341.8,69.2,17.6449,845.788,50.0,530.0740000000002,53.0,335.0,336.4486
129.125,16.1,117.0,28.5,488.5,0.7492,754.5,77.75,179.71099999999996,293.8,373.0,59.4,37.75,23.75,332.5,44.6,144.6,131.8,269.4,67.4,21.4,26.0,48.125,65.4,490.875,243.9,36.5,386.282,192.5,20.75,55.125,147.8,40.3,36.5,472.0,70.75,108.3,38.2,34.5,178.0,36.25,6.6560000000000015,256.25,12.6,16.375,348.8,5.7,111.5,66.8,30.375,24.1907,203.063,276.0,5.2,148.3,52.0,142.1,76.0,161.0,348.0,70.2,17.6449,839.801,40.0,527.841,53.0,336.0,336.4486
